date,series,listings
2014-12-07,Entire home/apt,4
2014-12-07,Entire home/apt,15551
2014-12-07,Private room,3
2014-12-07,Private room,10206
2014-12-07,Shared room,861
2014-12-13,Entire home/apt,3
2014-12-13,Entire home/apt,16292
2014-12-13,Private room,1
2014-12-13,Private room,10788
2014-12-13,Shared room,900
2014-12-21,Entire home/apt,4
2014-12-21,Entire home/apt,16272
2014-12-21,Private room,2
2014-12-21,Private room,10733
2014-12-21,Shared room,893
2015-01-01,Entire home/apt,1
2015-01-01,Entire home/apt,15961
2015-01-01,Private room,1
2015-01-01,Private room,10562
2015-01-01,Shared room,829
2015-03-01,Entire home/apt,73
2015-03-01,Entire home/apt,15423
2015-03-01,Private room,31
2015-03-01,Private room,10761
2015-03-01,Shared room,2
2015-03-01,Shared room,811
2015-05-01,Entire home/apt,161
2015-05-01,Entire home/apt,15172
2015-05-01,Private room,79
2015-05-01,Private room,10930
2015-05-01,Shared room,3
2015-05-01,Shared room,718
2015-06-01,Entire home/apt,170
2015-06-01,Entire home/apt,15530
2015-06-01,Private room,76
2015-06-01,Private room,11040
2015-06-01,Shared room,1
2015-06-01,Shared room,652
2015-08-01,Entire home/apt,173
2015-08-01,Entire home/apt,16955
2015-08-01,Private room,75
2015-08-01,Private room,12514
2015-08-01,Shared room,1
2015-08-01,Shared room,809
2015-09-01,Entire home/apt,192
2015-09-01,Entire home/apt,16834
2015-09-01,Private room,89
2015-09-01,Private room,12522
2015-09-01,Shared room,8
2015-09-01,Shared room,838
2015-10-01,Entire home/apt,191
2015-10-01,Entire home/apt,16746
2015-10-01,Private room,91
2015-10-01,Private room,12338
2015-10-01,Shared room,14
2015-10-01,Shared room,868
2015-11-01,Entire home/apt,186
2015-11-01,Entire home/apt,17718
2015-11-01,Private room,82
2015-11-01,Private room,13019
2015-11-01,Shared room,13
2015-11-01,Shared room,937
2015-11-20,Entire home/apt,277
2015-11-20,Entire home/apt,17503
2015-11-20,Private room,93
2015-11-20,Private room,13910
2015-11-20,Shared room,12
2015-11-20,Shared room,959
2015-12-02,Entire home/apt,286
2015-12-02,Entire home/apt,18500
2015-12-02,Private room,99
2015-12-02,Private room,14471
2015-12-02,Shared room,13
2015-12-02,Shared room,1007
2016-01-01,Entire home/apt,266
2016-01-01,Entire home/apt,19396
2016-01-01,Private room,107
2016-01-01,Private room,15297
2016-01-01,Shared room,14
2016-01-01,Shared room,1103
2016-02-02,Entire home/apt,278
2016-02-02,Entire home/apt,18989
2016-02-02,Private room,110
2016-02-02,Private room,15466
2016-02-02,Shared room,11
2016-02-02,Shared room,1103
2016-04-03,Entire home/apt,324
2016-04-03,Entire home/apt,16834
2016-04-03,Private room,140
2016-04-03,Private room,14441
2016-04-03,Shared room,4
2016-04-03,Shared room,1087
2016-05-02,Entire home/apt,315
2016-05-02,Entire home/apt,16758
2016-05-02,Private room,144
2016-05-02,Private room,14312
2016-05-02,Shared room,5
2016-05-02,Shared room,1041
2016-06-02,Entire home/apt,324
2016-06-02,Entire home/apt,18748
2016-06-02,Private room,164
2016-06-02,Private room,16278
2016-06-02,Shared room,7
2016-06-02,Shared room,1087
2016-07-03,Entire home/apt,362
2016-07-03,Entire home/apt,19632
2016-07-03,Private room,185
2016-07-03,Private room,17404
2016-07-03,Shared room,9
2016-07-03,Shared room,1218
2016-08-02,Entire home/apt,380
2016-08-02,Entire home/apt,19989
2016-08-02,Private room,181
2016-08-02,Private room,17896
2016-08-02,Shared room,13
2016-08-02,Shared room,1299
2016-09-02,Entire home/apt,375
2016-09-02,Entire home/apt,20021
2016-09-02,Private room,213
2016-09-02,Private room,17802
2016-09-02,Shared room,14
2016-09-02,Shared room,1292
2016-10-01,Entire home/apt,381
2016-10-01,Entire home/apt,19925
2016-10-01,Private room,228
2016-10-01,Private room,17657
2016-10-01,Shared room,12
2016-10-01,Shared room,1350
2016-11-02,Entire home/apt,614
2016-11-02,Entire home/apt,18502
2016-11-02,Private room,255
2016-11-02,Private room,18165
2016-11-02,Shared room,44
2016-11-02,Shared room,1356
2016-12-03,Entire home/apt,612
2016-12-03,Entire home/apt,19317
2016-12-03,Private room,238
2016-12-03,Private room,18681
2016-12-03,Shared room,28
2016-12-03,Shared room,1351
2017-01-01,Entire home/apt,620
2017-01-01,Entire home/apt,19547
2017-01-01,Private room,281
2017-01-01,Private room,19289
2017-01-01,Shared room,24
2017-01-01,Shared room,1122
2017-02-02,Entire home/apt,611
2017-02-02,Entire home/apt,19192
2017-02-02,Private room,287
2017-02-02,Private room,19168
2017-02-02,Shared room,18
2017-02-02,Shared room,1183
2017-02-17,Entire home/apt,636
2017-02-17,Entire home/apt,19186
2017-02-17,Private room,289
2017-02-17,Private room,19185
2017-02-17,Shared room,17
2017-02-17,Shared room,1177
2017-03-02,Entire home/apt,632
2017-03-02,Entire home/apt,19247
2017-03-02,Private room,317
2017-03-02,Private room,19185
2017-03-02,Shared room,18
2017-03-02,Shared room,1187
2017-04-02,Entire home/apt,624
2017-04-02,Entire home/apt,19250
2017-04-02,Private room,322
2017-04-02,Private room,19210
2017-04-02,Shared room,33
2017-04-02,Shared room,1190
2017-05-02,Entire home/apt,630
2017-05-02,Entire home/apt,19307
2017-05-02,Private room,334
2017-05-02,Private room,19292
2017-05-02,Shared room,32
2017-05-02,Shared room,1158
2017-06-02,Entire home/apt,648
2017-06-02,Entire home/apt,19567
2017-06-02,Private room,334
2017-06-02,Private room,19472
2017-06-02,Shared room,27
2017-06-02,Shared room,1139
2017-07-02,Entire home/apt,620
2017-07-02,Entire home/apt,20541
2017-07-02,Private room,327
2017-07-02,Private room,20160
2017-07-02,Shared room,28
2017-07-02,Shared room,1191
2017-08-02,Entire home/apt,600
2017-08-02,Entire home/apt,21614
2017-08-02,Private room,333
2017-08-02,Private room,21089
2017-08-02,Shared room,27
2017-08-02,Shared room,1171
2017-09-02,Entire home/apt,602
2017-09-02,Entire home/apt,20030
2017-09-02,Private room,320
2017-09-02,Private room,19169
2017-09-02,Shared room,24
2017-09-02,Shared room,1012
2017-10-02,Entire home/apt,602
2017-10-02,Entire home/apt,21470
2017-10-02,Private room,303
2017-10-02,Private room,20807
2017-10-02,Shared room,24
2017-10-02,Shared room,1111
2017-11-01,Entire home/apt,650
2017-11-01,Entire home/apt,21940
2017-11-01,Private room,315
2017-11-01,Private room,21282
2017-11-01,Shared room,34
2017-11-01,Shared room,1140
2017-12-03,Entire home/apt,628
2017-12-03,Entire home/apt,23153
2017-12-03,Private room,328
2017-12-03,Private room,22366
2017-12-03,Shared room,28
2017-12-03,Shared room,1188
2018-01-10,Entire home/apt,676
2018-01-10,Entire home/apt,23480
2018-01-10,Private room,323
2018-01-10,Private room,22915
2018-01-10,Shared room,25
2018-01-10,Shared room,1201
2018-02-03,Entire home/apt,676
2018-02-03,Entire home/apt,23609
2018-02-03,Private room,336
2018-02-03,Private room,23360
2018-02-03,Shared room,25
2018-02-03,Shared room,1216
2018-03-04,Entire home/apt,690
2018-03-04,Entire home/apt,23407
2018-03-04,Private room,377
2018-03-04,Private room,23142
2018-03-04,Shared room,32
2018-03-04,Shared room,1204
2018-04-06,Entire home/apt,726
2018-04-06,Entire home/apt,23295
2018-04-06,Private room,385
2018-04-06,Private room,22938
2018-04-06,Shared room,42
2018-04-06,Shared room,1163
2018-05-09,Entire home/apt,738
2018-05-09,Entire home/apt,22926
2018-05-09,Private room,409
2018-05-09,Private room,22284
2018-05-09,Shared room,46
2018-05-09,Shared room,1039
2018-06-03,Entire home/apt,755
2018-06-03,Entire home/apt,23115
2018-06-03,Private room,412
2018-06-03,Private room,22134
2018-06-03,Shared room,71
2018-06-03,Shared room,1055
2018-07-05,Entire home/apt,776
2018-07-05,Entire home/apt,23279
2018-07-05,Private room,424
2018-07-05,Private room,22304
2018-07-05,Shared room,62
2018-07-05,Shared room,1009
2018-08-06,Entire home/apt,3236
2018-08-06,Entire home/apt,23223
2018-08-06,Private room,1047
2018-08-06,Private room,22308
2018-08-06,Shared room,87
2018-08-06,Shared room,1013
2018-09-08,Entire home/apt,3283
2018-09-08,Entire home/apt,22819
2018-09-08,Private room,1134
2018-09-08,Private room,21844
2018-09-08,Shared room,83
2018-09-08,Shared room,1057
2018-10-03,Entire home/apt,3366
2018-10-03,Entire home/apt,22684
2018-10-03,Private room,1193
2018-10-03,Private room,21629
2018-10-03,Shared room,105
2018-10-03,Shared room,1064
2018-11-03,Entire home/apt,3450
2018-11-03,Entire home/apt,23143
2018-11-03,Private room,1287
2018-11-03,Private room,21930
2018-11-03,Shared room,100
2018-11-03,Shared room,1058
2018-12-06,Entire home/apt,3493
2018-12-06,Entire home/apt,22566
2018-12-06,Private room,1251
2018-12-06,Private room,20683
2018-12-06,Shared room,89
2018-12-06,Shared room,974
2019-01-09,Entire home/apt,3490
2019-01-09,Entire home/apt,23382
2019-01-09,Private room,1307
2019-01-09,Private room,21366
2019-01-09,Shared room,109
2019-01-09,Shared room,1063
2019-02-01,Entire home/apt,3479
2019-02-01,Entire home/apt,23046
2019-02-01,Private room,1236
2019-02-01,Private room,21321
2019-02-01,Shared room,98
2019-02-01,Shared room,1048
2019-03-06,Entire home/apt,3567
2019-03-06,Entire home/apt,22494
2019-03-06,Private room,1230
2019-03-06,Private room,21348
2019-03-06,Shared room,106
2019-03-06,Shared room,1003
2019-04-03,Entire home/apt,3620
2019-04-03,Entire home/apt,22133
2019-04-03,Private room,1262
2019-04-03,Private room,21323
2019-04-03,Shared room,114
2019-04-03,Shared room,1014
2019-05-03,Entire home/apt,3523
2019-05-03,Entire home/apt,21995
2019-05-03,Private room,1169
2019-05-03,Private room,21104
2019-05-03,Shared room,112
2019-05-03,Shared room,1038
2019-06-02,Entire home/apt,3313
2019-06-02,Entire home/apt,22047
2019-06-02,Private room,1239
2019-06-02,Private room,21042
2019-06-02,Shared room,107
2019-06-02,Shared room,1053
2019-07-08,Entire home/apt,3155
2019-07-08,Entire home/apt,22254
2019-07-08,Private room,1245
2019-07-08,Private room,21081
2019-07-08,Shared room,107
2019-07-08,Shared room,1053
2019-08-06,Entire home/apt,3247
2019-08-06,Entire home/apt,22049
2019-08-06,Private room,1263
2019-08-06,Private room,21134
2019-08-06,Shared room,110
2019-08-06,Shared room,1061
2019-09-12,Entire home/apt,3267
2019-09-12,Entire home/apt,21631
2019-09-12,Hotel room,19
2019-09-12,Hotel room,416
2019-09-12,Private room,1305
2019-09-12,Private room,20547
2019-09-12,Shared room,140
2019-09-12,Shared room,1052
2019-10-14,Entire home/apt,3362
2019-10-14,Entire home/apt,21772
2019-10-14,Hotel room,26
2019-10-14,Hotel room,429
2019-10-14,Private room,1288
2019-10-14,Private room,20538
2019-10-14,Shared room,145
2019-10-14,Shared room,1042
2019-11-01,Entire home/apt,3503
2019-11-01,Entire home/apt,22047
2019-11-01,Hotel room,22
2019-11-01,Hotel room,428
2019-11-01,Private room,1327
2019-11-01,Private room,20719
2019-11-01,Shared room,156
2019-11-01,Shared room,1079
2019-12-04,Entire home/apt,3546
2019-12-04,Entire home/apt,22595
2019-12-04,Hotel room,18
2019-12-04,Hotel room,399
2019-12-04,Private room,1388
2019-12-04,Private room,21397
2019-12-04,Shared room,170
2019-12-04,Shared room,1086
2020-01-03,Entire home/apt,3662
2020-01-03,Entire home/apt,22990
2020-01-03,Hotel room,18
2020-01-03,Hotel room,382
2020-01-03,Private room,1416
2020-01-03,Private room,21665
2020-01-03,Shared room,143
2020-01-03,Shared room,1085
2020-02-12,Entire home/apt,3674
2020-02-12,Entire home/apt,22777
2020-02-12,Hotel room,17
2020-02-12,Hotel room,383
2020-02-12,Private room,1347
2020-02-12,Private room,21623
2020-02-12,Shared room,183
2020-02-12,Shared room,1093
2020-03-13,Entire home/apt,3744
2020-03-13,Entire home/apt,22530
2020-03-13,Hotel room,17
2020-03-13,Hotel room,385
2020-03-13,Private room,1350
2020-03-13,Private room,21545
2020-03-13,Shared room,172
2020-03-13,Shared room,1053
2020-04-08,Entire home/apt,3989
2020-04-08,Entire home/apt,22241
2020-04-08,Hotel room,17
2020-04-08,Hotel room,373
2020-04-08,Private room,1380
2020-04-08,Private room,21210
2020-04-08,Shared room,163
2020-04-08,Shared room,1005
2020-05-06,Entire home/apt,3971
2020-05-06,Entire home/apt,22102
2020-05-06,Hotel room,19
2020-05-06,Hotel room,415
2020-05-06,Private room,1521
2020-05-06,Private room,21078
2020-05-06,Shared room,158
2020-05-06,Shared room,982
2020-06-08,Entire home/apt,4016
2020-06-08,Entire home/apt,21700
2020-06-08,Hotel room,19
2020-06-08,Hotel room,412
2020-06-08,Private room,1401
2020-06-08,Private room,20878
2020-06-08,Shared room,148
2020-06-08,Shared room,956
2020-07-07,Entire home/apt,3993
2020-07-07,Entire home/apt,21198
2020-07-07,Hotel room,18
2020-07-07,Hotel room,381
2020-07-07,Private room,1427
2020-07-07,Private room,20495
2020-07-07,Shared room,135
2020-07-07,Shared room,941
2020-08-15,Entire home/apt,3788
2020-08-15,Entire home/apt,20210
2020-08-15,Hotel room,18
2020-08-15,Hotel room,380
2020-08-15,Private room,1586
2020-08-15,Private room,19558
2020-08-15,Shared room,116
2020-08-15,Shared room,871
2020-09-07,Entire home/apt,3826
2020-09-07,Entire home/apt,19751
2020-09-07,Hotel room,18
2020-09-07,Hotel room,375
2020-09-07,Private room,1604
2020-09-07,Private room,19238
2020-09-07,Shared room,109
2020-09-07,Shared room,835
2020-10-05,Entire home/apt,4202
2020-10-05,Entire home/apt,18658
2020-10-05,Hotel room,3
2020-10-05,Hotel room,385
2020-10-05,Private room,2115
2020-10-05,Private room,18383
2020-10-05,Shared room,113
2020-10-05,Shared room,807
2020-11-02,Entire home/apt,4604
2020-11-02,Entire home/apt,18211
2020-11-02,Hotel room,19
2020-11-02,Hotel room,369
2020-11-02,Private room,2348
2020-11-02,Private room,18042
2020-11-02,Shared room,113
2020-11-02,Shared room,791
2020-12-10,Entire home/apt,13475
2020-12-10,Entire home/apt,5995
2020-12-10,Hotel room,99
2020-12-10,Hotel room,198
2020-12-10,Private room,11128
2020-12-10,Private room,5350
2020-12-10,Shared room,445
2020-12-10,Shared room,233
2021-01-08,Entire home/apt,13340
2021-01-08,Entire home/apt,6203
2021-01-08,Hotel room,88
2021-01-08,Hotel room,206
2021-01-08,Private room,11034
2021-01-08,Private room,5580
2021-01-08,Shared room,450
2021-01-08,Shared room,242
2021-02-04,Entire home/apt,13180
2021-02-04,Entire home/apt,6217
2021-02-04,Hotel room,87
2021-02-04,Hotel room,212
2021-02-04,Private room,11024
2021-02-04,Private room,5606
2021-02-04,Shared room,436
2021-02-04,Shared room,250
2021-03-01,Entire home/apt,13024
2021-03-01,Entire home/apt,6269
2021-03-01,Hotel room,87
2021-03-01,Hotel room,195
2021-03-01,Private room,11073
2021-03-01,Private room,5653
2021-03-01,Shared room,435
2021-03-01,Shared room,245
2021-04-07,Entire home/apt,12830
2021-04-07,Entire home/apt,6413
2021-04-07,Hotel room,80
2021-04-07,Hotel room,202
2021-04-07,Private room,10957
2021-04-07,Private room,5752
2021-04-07,Shared room,425
2021-04-07,Shared room,246
2021-05-06,Entire home/apt,12669
2021-05-06,Entire home/apt,6503
2021-05-06,Hotel room,79
2021-05-06,Hotel room,210
2021-05-06,Private room,10580
2021-05-06,Private room,5788
2021-05-06,Shared room,405
2021-05-06,Shared room,238
2021-06-02,Entire home/apt,12547
2021-06-02,Entire home/apt,6606
2021-06-02,Hotel room,78
2021-06-02,Hotel room,200
2021-06-02,Private room,10354
2021-06-02,Private room,5808
2021-06-02,Shared room,395
2021-06-02,Shared room,242
2021-07-03,Entire home/apt,12332
2021-07-03,Entire home/apt,6875
2021-07-03,Hotel room,72
2021-07-03,Hotel room,190
2021-07-03,Private room,10150
2021-07-03,Private room,6069
2021-07-03,Shared room,380
2021-07-03,Shared room,242
2021-08-04,Entire home/apt,12366
2021-08-04,Entire home/apt,7118
2021-08-04,Hotel room,71
2021-08-04,Hotel room,188
2021-08-04,Private room,10044
2021-08-04,Private room,6338
2021-08-04,Shared room,371
2021-08-04,Shared room,228
2021-09-01,Entire home/apt,12255
2021-09-01,Entire home/apt,7419
2021-09-01,Hotel room,71
2021-09-01,Hotel room,187
2021-09-01,Private room,9890
2021-09-01,Private room,6523
2021-09-01,Shared room,355
2021-09-01,Shared room,223
2021-10-06,Entire home/apt,12070
2021-10-06,Entire home/apt,7712
2021-10-06,Hotel room,68
2021-10-06,Hotel room,194
2021-10-06,Private room,9855
2021-10-06,Private room,6784
2021-10-06,Shared room,352
2021-10-06,Shared room,239
2021-11-02,Entire home/apt,12024
2021-11-02,Entire home/apt,8039
2021-11-02,Hotel room,60
2021-11-02,Hotel room,186
2021-11-02,Private room,9868
2021-11-02,Private room,6960
2021-11-02,Shared room,327
2021-11-02,Shared room,249
2021-12-04,Entire home/apt,11937
2021-12-04,Entire home/apt,8460
2021-12-04,Hotel room,42
2021-12-04,Hotel room,168
2021-12-04,Private room,9826
2021-12-04,Private room,7272
2021-12-04,Shared room,327
2021-12-04,Shared room,245
2022-01-06,Entire home/apt,11640
2022-01-06,Entire home/apt,8736
2022-01-06,Hotel room,42
2022-01-06,Hotel room,167
2022-01-06,Private room,9569
2022-01-06,Private room,7465
2022-01-06,Shared room,309
2022-01-06,Shared room,257
2022-02-05,Entire home/apt,11373
2022-02-05,Entire home/apt,8938
2022-02-05,Hotel room,43
2022-02-05,Hotel room,155
2022-02-05,Private room,9347
2022-02-05,Private room,7438
2022-02-05,Shared room,303
2022-02-05,Shared room,261
2022-03-05,Entire home/apt,11177
2022-03-05,Entire home/apt,9185
2022-03-05,Hotel room,43
2022-03-05,Hotel room,155
2022-03-05,Private room,8797
2022-03-05,Private room,7703
2022-03-05,Shared room,298
2022-03-05,Shared room,273
2022-04-08,Entire home/apt,11069
2022-04-08,Entire home/apt,9327
2022-04-08,Hotel room,43
2022-04-08,Hotel room,158
2022-04-08,Private room,8692
2022-04-08,Private room,7703
2022-04-08,Shared room,291
2022-04-08,Shared room,248
2022-05-07,Entire home/apt,10697
2022-05-07,Entire home/apt,9615
2022-05-07,Hotel room,43
2022-05-07,Hotel room,157
2022-05-07,Private room,8144
2022-05-07,Private room,7658
2022-05-07,Shared room,275
2022-05-07,Shared room,239
2022-06-03,Entire home/apt,10764
2022-06-03,Entire home/apt,10330
2022-06-03,Hotel room,40
2022-06-03,Hotel room,155
2022-06-03,Private room,7794
2022-06-03,Private room,7809
2022-06-03,Shared room,270
2022-06-03,Shared room,248
2022-07-07,Entire home/apt,10864
2022-07-07,Entire home/apt,10853
2022-07-07,Hotel room,39
2022-07-07,Hotel room,156
2022-07-07,Private room,8134
2022-07-07,Private room,8061
2022-07-07,Shared room,266
2022-07-07,Shared room,267
2022-08-02,Entire home/apt,10885
2022-08-02,Entire home/apt,11405
2022-08-02,Hotel room,39
2022-08-02,Hotel room,154
2022-08-02,Private room,8092
2022-08-02,Private room,8324
2022-08-02,Shared room,269
2022-08-02,Shared room,279
2022-09-07,Entire home/apt,11017
2022-09-07,Entire home/apt,11744
2022-09-07,Hotel room,39
2022-09-07,Hotel room,163
2022-09-07,Private room,7804
2022-09-07,Private room,8557
2022-09-07,Shared room,265
2022-09-07,Shared room,292
2022-10-04,Entire home/apt,11123
2022-10-04,Entire home/apt,12057
2022-10-04,Hotel room,39
2022-10-04,Hotel room,162
2022-10-04,Private room,7801
2022-10-04,Private room,8806
2022-10-04,Shared room,268
2022-10-04,Shared room,289
2022-11-02,Entire home/apt,10938
2022-11-02,Entire home/apt,11557
2022-11-02,Hotel room,39
2022-11-02,Hotel room,158
2022-11-02,Private room,7679
2022-11-02,Private room,8643
2022-11-02,Shared room,261
2022-11-02,Shared room,269
2022-12-04,Entire home/apt,11238
2022-12-04,Entire home/apt,12288
2022-12-04,Hotel room,38
2022-12-04,Hotel room,150
2022-12-04,Private room,8015
2022-12-04,Private room,9272
2022-12-04,Shared room,264
2022-12-04,Shared room,268
2023-01-04,Entire home/apt,11455
2023-01-04,Entire home/apt,12797
2023-01-04,Hotel room,38
2023-01-04,Hotel room,148
2023-01-04,Private room,8353
2023-01-04,Private room,9413
2023-01-04,Shared room,264
2023-01-04,Shared room,286
2023-02-05,Entire home/apt,11410
2023-02-05,Entire home/apt,12647
2023-02-05,Hotel room,37
2023-02-05,Hotel room,159
2023-02-05,Private room,8551
2023-02-05,Private room,9362
2023-02-05,Shared room,268
2023-02-05,Shared room,305
2023-03-06,Entire home/apt,11363
2023-03-06,Entire home/apt,12916
2023-03-06,Hotel room,37
2023-03-06,Hotel room,160
2023-03-06,Private room,8457
2023-03-06,Private room,9422
2023-03-06,Shared room,268
2023-03-06,Shared room,308
2023-04-05,Entire home/apt,11522
2023-04-05,Entire home/apt,12772
2023-04-05,Hotel room,35
2023-04-05,Hotel room,154
2023-04-05,Private room,8683
2023-04-05,Private room,9489
2023-04-05,Shared room,279
2023-04-05,Shared room,307
2023-05-03,Entire home/apt,11761
2023-05-03,Entire home/apt,12776
2023-05-03,Hotel room,34
2023-05-03,Hotel room,146
2023-05-03,Private room,8659
2023-05-03,Private room,9361
2023-05-03,Shared room,273
2023-05-03,Shared room,293
2023-06-05,Entire home/apt,12027
2023-06-05,Entire home/apt,12622
2023-06-05,Hotel room,33
2023-06-05,Hotel room,118
2023-06-05,Private room,8796
2023-06-05,Private room,9390
2023-06-05,Shared room,276
2023-06-05,Shared room,304
2023-07-03,Entire home/apt,12210
2023-07-03,Entire home/apt,12512
2023-07-03,Hotel room,33
2023-07-03,Hotel room,117
2023-07-03,Private room,9054
2023-07-03,Private room,9255
2023-07-03,Shared room,286
2023-07-03,Shared room,262
2023-08-04,Entire home/apt,12355
2023-08-04,Entire home/apt,12294
2023-08-04,Hotel room,27
2023-08-04,Hotel room,108
2023-08-04,Private room,9132
2023-08-04,Private room,9127
2023-08-04,Shared room,283
2023-08-04,Shared room,256
2023-09-05,Entire home/apt,18580
2023-09-05,Entire home/apt,3401
2023-09-05,Hotel room,29
2023-09-05,Hotel room,104
2023-09-05,Private room,13585
2023-09-05,Private room,3256
2023-09-05,Shared room,418
2023-09-05,Shared room,80
2023-10-01,Entire home/apt,19899
2023-10-01,Entire home/apt,1420
2023-10-01,Hotel room,28
2023-10-01,Hotel room,104
2023-10-01,Private room,15164
2023-10-01,Private room,1685
2023-10-01,Shared room,474
2023-10-01,Shared room,18
2023-11-01,Entire home/apt,19555
2023-11-01,Entire home/apt,1681
2023-11-01,Hotel room,38
2023-11-01,Hotel room,93
2023-11-01,Private room,15308
2023-11-01,Private room,1948
2023-11-01,Shared room,513
2023-11-01,Shared room,24
2023-12-04,Entire home/apt,19448
2023-12-04,Entire home/apt,1798
2023-12-04,Hotel room,38
2023-12-04,Hotel room,133
2023-12-04,Private room,15409
2023-12-04,Private room,2256
2023-12-04,Shared room,513
2023-12-04,Shared room,32
2024-01-05,Entire home/apt,19261
2024-01-05,Entire home/apt,1801
2024-01-05,Hotel room,39
2024-01-05,Hotel room,135
2024-01-05,Private room,15383
2024-01-05,Private room,2548
2024-01-05,Shared room,511
2024-01-05,Shared room,41
2024-02-06,Entire home/apt,19070
2024-02-06,Entire home/apt,1783
2024-02-06,Hotel room,40
2024-02-06,Hotel room,229
2024-02-06,Private room,14949
2024-02-06,Private room,2594
2024-02-06,Shared room,507
2024-02-06,Shared room,30
2024-03-07,Entire home/apt,18843
2024-03-07,Entire home/apt,1892
2024-03-07,Hotel room,40
2024-03-07,Hotel room,228
2024-03-07,Private room,14976
2024-03-07,Private room,2785
2024-03-07,Shared room,513
2024-03-07,Shared room,42
